table_name,column_name,is_nullable
staff,last_update,NO
actor,first_name,NO
actor,last_name,NO
actor,last_update,NO
store,store_id,NO
store,manager_staff_id,NO
store,address_id,NO
store,last_update,NO
address,address_id,NO
address,address,NO
payment,payment_id,NO
payment,customer_id,NO
payment,staff_id,NO
payment,rental_id,NO
payment,amount,NO
payment,payment_date,NO
film,film_id,NO
film,title,NO
film,language_id,NO
film,rental_duration,NO
film,rental_rate,NO
film,replacement_cost,NO
film,last_update,NO
film,fulltext,NO
address,district,NO
address,city_id,NO
address,phone,NO
address,last_update,NO
category,category_id,NO
category,name,NO
category,last_update,NO
city,city_id,NO
city,city,NO
city,country_id,NO
city,last_update,NO
country,country_id,NO
country,country,NO
country,last_update,NO
customer,customer_id,NO
customer,store_id,NO
customer,first_name,NO
customer,last_name,NO
customer,address_id,NO
customer,activebool,NO
customer,create_date,NO
film_actor,actor_id,NO
film_actor,film_id,NO
film_actor,last_update,NO
film_category,film_id,NO
film_category,category_id,NO
film_category,last_update,NO
inventory,inventory_id,NO
inventory,film_id,NO
inventory,store_id,NO
inventory,last_update,NO
language,language_id,NO
language,name,NO
language,last_update,NO
rental,rental_id,NO
rental,rental_date,NO
rental,inventory_id,NO
rental,customer_id,NO
rental,staff_id,NO
rental,last_update,NO
staff,staff_id,NO
staff,first_name,NO
staff,last_name,NO
staff,address_id,NO
staff,store_id,NO
staff,active,NO
staff,username,NO
actor,actor_id,NO
address,address2,YES
film,rating,YES
film,description,YES
address,postal_code,YES
staff,password,YES
film,release_year,YES
staff,picture,YES
film,length,YES
customer,email,YES
staff,email,YES
film,special_features,YES
rental,return_date,YES
customer,last_update,YES
customer,active,YES
