table_name,column_name,column_default
film,rating,'G'::mpaa_rating
customer,create_date,('now'::text)::date
film,replacement_cost,19.99
film,rental_duration,3
film,rental_rate,4.99
actor,actor_id,nextval('actor_actor_id_seq'::regclass)
address,address_id,nextval('address_address_id_seq'::regclass)
category,category_id,nextval('category_category_id_seq'::regclass)
city,city_id,nextval('city_city_id_seq'::regclass)
country,country_id,nextval('country_country_id_seq'::regclass)
customer,customer_id,nextval('customer_customer_id_seq'::regclass)
film,film_id,nextval('film_film_id_seq'::regclass)
inventory,inventory_id,nextval('inventory_inventory_id_seq'::regclass)
language,language_id,nextval('language_language_id_seq'::regclass)
payment,payment_id,nextval('payment_payment_id_seq'::regclass)
rental,rental_id,nextval('rental_rental_id_seq'::regclass)
staff,staff_id,nextval('staff_staff_id_seq'::regclass)
store,store_id,nextval('store_store_id_seq'::regclass)
actor,last_update,now()
address,last_update,now()
category,last_update,now()
city,last_update,now()
country,last_update,now()
customer,last_update,now()
film,last_update,now()
film_actor,last_update,now()
film_category,last_update,now()
inventory,last_update,now()
language,last_update,now()
rental,last_update,now()
staff,last_update,now()
store,last_update,now()
customer,activebool,true
staff,active,true
