address_address,frequency
741 Ambattur Manor,1
635 Brest Manor,1
1596 Acua Parkway,1
355 Vitria de Santo Anto Way,1
1952 Chatsworth Drive,1
1894 Boa Vista Way,1
1909 Benguela Lane,1
848 Tafuna Manor,1
1557 Ktahya Boulevard,1
316 Uruapan Street,1
1819 Alessandria Loop,1
1944 Bamenda Way,1
984 Novoterkassk Loop,1
1913 Hanoi Way,1
51 Laredo Avenue,1
1673 Tangail Drive,1
1485 Bratislava Place,1
1785 So Bernardo do Campo Street,1
1888 Kabul Drive,1
1152 Citrus Heights Manor,1
1440 Fukuyama Loop,1
1121 Loja Avenue,1
1697 Kowloon and New Kowloon Loop,1
1675 Xiangfan Manor,1
521 San Juan Bautista Tuxtepec Place,1
496 Celaya Drive,1
1497 Fengshan Drive,1
1013 Tabuk Boulevard,1
1949 Sanya Street,1
431 Szkesfehrvr Avenue,1
533 al-Ayn Boulevard,1
1986 Sivas Place,1
1877 Ezhou Lane,1
456 Escobar Way,1
909 Garland Manor,1
1078 Stara Zagora Drive,1
956 Nam Dinh Manor,1
757 Rustenburg Avenue,1
185 Mannheim Lane,1
1948 Bayugan Parkway,1
543 Bergamo Avenue,1
1289 Belm Boulevard,1
1351 Aparecida de Goinia Parkway,1
954 Kimchon Place,1
1842 Luzinia Boulevard,1
1124 Buenaventura Drive,1
1229 Varanasi (Benares) Manor,1
817 Laredo Avenue,1
710 San Felipe del Progreso Avenue,1
1027 Songkhla Manor,1
613 Korolev Drive,1
146 Johannesburg Way,1
786 Stara Zagora Way,1
1760 Oshawa Manor,1
201 Effon-Alaiye Way,1
1190 0 Place,1
1926 El Alto Avenue,1
686 Garland Manor,1
1854 Okara Boulevard,1
782 Mosul Street,1
118 Jaffna Loop,1
1587 Loja Manor,1
495 Bhimavaram Lane,1
269 Cam Ranh Parkway,1
1027 Banjul Place,1
1378 Alvorada Avenue,1
663 Baha Blanca Parkway,1
781 Shimonoseki Drive,1
682 Junan Way,1
817 Bradford Loop,1
1001 Miyakonojo Lane,1
659 Vaduz Drive,1
431 Xiangtan Avenue,1
954 Lapu-Lapu Way,1
1293 Nam Dinh Way,1
45 Aparecida de Goinia Place,1
770 Bydgoszcz Avenue,1
596 Huixquilucan Place,1
144 South Hill Loop,1
1213 Ranchi Parkway,1
53 Idfu Parkway,1
231 Kaliningrad Place,1
1060 Tandil Lane,1
616 Hagonoy Avenue,1
1715 Okayama Street,1
780 Kimberley Way,1
929 Tallahassee Loop,1
182 Nukualofa Drive,1
1574 Goinia Boulevard,1
698 Jelets Boulevard,1
651 Pathankot Loop,1
226 Halifax Street,1
1942 Ciparay Parkway,1
126 Acua Parkway,1
1002 Ahmadnagar Manor,1
492 Cam Ranh Street,1
827 Yuncheng Drive,1
454 Qinhuangdao Drive,1
117 Boa Vista Way,1
660 Jedda Boulevard,1
1820 Maring Parkway,1
1746 Faaa Way,1
98 Stara Zagora Boulevard,1
1658 Jastrzebie-Zdrj Loop,1
48 Maracabo Place,1
1936 Cuman Avenue,1
922 Vila Velha Loop,1
1103 Quilmes Boulevard,1
966 Asuncin Way,1
1336 Benin City Drive,1
1029 Dzerzinsk Manor,1
1679 Antofagasta Street,1
1206 Dos Quebradas Place,1
503 Sogamoso Loop,1
990 Etawah Loop,1
1628 Nagareyama Lane,1
41 El Alto Parkway,1
984 Effon-Alaiye Avenue,1
457 Tongliao Loop,1
1133 Rizhao Avenue,1
1947 Paarl Way,1
138 Caracas Boulevard,1
1912 Allende Manor,1
1922 Miraj Way,1
999 Sanaa Loop,1
1489 Kakamigahara Lane,1
879 Newcastle Way,1
898 Jining Lane,1
