city_city,frequency
London,2
Taguig,1
Tokat,1
Atlixco,1
Mukateve,1
Pontianak,1
Gatineau,1
Saint-Denis,1
Molodetno,1
Yingkou,1
Changhwa,1
Rampur,1
Caracas,1
Apeldoorn,1
Omdurman,1
Mwanza,1
Satna,1
Hanoi,1
San Bernardino,1
Battambang,1
Boksburg,1
Ogbomosho,1
Idfu,1
Bradford,1
Gorontalo,1
Ilorin,1
Grand Prairie,1
Leshan,1
Syrakusa,1
Arecibo,1
Salinas,1
Toulouse,1
NDjamna,1
Berhampore (Baharampur),1
Almirante Brown,1
Tafuna,1
Najafabad,1
Jhansi,1
Maracabo,1
Touliu,1
Karnal,1
Shahr-e Kord,1
Nador,1
Zhezqazghan,1
Udaipur,1
Zaoyang,1
Portoviejo,1
Yantai,1
Moscow,1
Zapopan,1
Allappuzha (Alleppey),1
Smolensk,1
Iwatsuki,1
Etawah,1
Oyo,1
al-Qadarif,1
Tabora,1
Lungtan,1
Oshawa,1
Omiya,1
Jastrzebie-Zdrj,1
Woodridge,1
Lilongwe,1
Hamilton,1
Ashdod,1
Lubumbashi,1
Pathankot,1
Chisinau,1
Bayugan,1
Weifang,1
Santa Brbara dOeste,1
Roanoke,1
Korla,1
Angra dos Reis,1
Tychy,1
al-Hawiya,1
Bhilwara,1
Serpuhov,1
Bern,1
Araatuba,1
Salamanca,1
Balikesir,1
Chapra,1
Lublin,1
Florencia,1
Carmen,1
Sogamoso,1
Tieli,1
Jinchang,1
Salzburg,1
Kaduna,1
Peoria,1
Jinzhou,1
Hodeida,1
Osmaniye,1
Asuncin,1
Batna,1
Ponce,1
Augusta-Richmond County,1
Tuguegarao,1
Amroha,1
Oulu,1
Bilbays,1
El Monte,1
guas Lindas de Gois,1
Juiz de Fora,1
Sanaa,1
Tete,1
al-Ayn,1
Vicente Lpez,1
Citt del Vaticano,1
Skikda,1
Jamalpur,1
Shaoguan,1
Ipoh,1
Ueda,1
Changzhou,1
Compton,1
Baiyin,1
Brescia,1
Sal,1
Usolje-Sibirskoje,1
Bucuresti,1
South Hill,1
Shenzhen,1
Adoni,1
Cuernavaca,1
Bandar Seri Begawan,1
Miyakonojo,1
Haiphong,1
Cheju,1
Uttarpara-Kotrung,1
Ede,1
s-Hertogenbosch,1
Chiayi,1
Athenai,1
Dayton,1
Poos de Caldas,1
Kanchrapara,1
Maikop,1
Xintai,1
Kowloon and New Kowloon,1
Uijongbu,1
Springs,1
Cuauhtmoc,1
Rae Bareli,1
San Felipe de Puerto Plata,1
Benin City,1
Huixquilucan,1
Arlington,1
Inegl,1
Garden Grove,1
Quilmes,1
Meixian,1
Baku,1
Ozamis,1
Botshabelo,1
Ourense (Orense),1
Tama,1
Sasebo,1
Namibe,1
Gingoog,1
Halisahar,1
Ljubertsy,1
Bydgoszcz,1
Qalyub,1
Ondo,1
Gijn,1
Bislig,1
Tonghae,1
Bamenda,1
Abha,1
Davao,1
Tel Aviv-Jaffa,1
Tangail,1
San Felipe del Progreso,1
Vitria de Santo Anto,1
Sousse,1
Bhusawal,1
Robamba,1
Sagamihara,1
Boa Vista,1
Jalib al-Shuyukh,1
Yinchuan,1
Lincoln,1
Bchar,1
Abu Dhabi,1
Eskisehir,1
Nezahualcyotl,1
Enshi,1
Dadu,1
Antofagasta,1
Madiun,1
Kurashiki,1
Merlo,1
Katihar,1
Iwaki,1
Usak,1
Tiefa,1
Yamuna Nagar,1
Deba Habe,1
Owo,1
Laiwu,1
Kilis,1
Benguela,1
Alvorada,1
