film_special_features,frequency
"[""Trailers"",""Commentaries"",""Behind the Scenes""]",79
"[""Trailers"",""Behind the Scenes""]",72
"[""Trailers""]",72
"[""Trailers"",""Commentaries""]",72
"[""Deleted Scenes"",""Behind the Scenes""]",71
"[""Commentaries"",""Behind the Scenes""]",70
"[""Behind the Scenes""]",70
"[""Commentaries"",""Deleted Scenes"",""Behind the Scenes""]",66
"[""Trailers"",""Deleted Scenes""]",66
"[""Commentaries"",""Deleted Scenes""]",65
"[""Trailers"",""Commentaries"",""Deleted Scenes""]",64
"[""Commentaries""]",62
"[""Trailers"",""Commentaries"",""Deleted Scenes"",""Behind the Scenes""]",61
"[""Deleted Scenes""]",61
"[""Trailers"",""Deleted Scenes"",""Behind the Scenes""]",49
