table_name,rental_date,frequency_count
rental,2005-05-24,8
rental,2005-05-25,137
rental,2005-05-26,174
rental,2005-05-27,166
rental,2005-05-28,196
rental,2005-05-29,154
rental,2005-05-30,158
rental,2005-05-31,163
rental,2005-06-14,16
rental,2005-06-15,348
rental,2005-06-16,324
rental,2005-06-17,325
rental,2005-06-18,344
rental,2005-06-19,348
rental,2005-06-20,331
rental,2005-06-21,275
rental,2005-07-05,27
rental,2005-07-06,504
rental,2005-07-07,461
rental,2005-07-08,512
rental,2005-07-09,513
rental,2005-07-10,480
rental,2005-07-11,461
rental,2005-07-12,495
rental,2005-07-26,33
rental,2005-07-27,649
rental,2005-07-28,620
rental,2005-07-29,641
rental,2005-07-30,634
rental,2005-07-31,679
rental,2005-08-01,671
rental,2005-08-02,643
rental,2005-08-16,23
rental,2005-08-17,593
rental,2005-08-18,621
rental,2005-08-19,628
rental,2005-08-20,624
rental,2005-08-21,659
rental,2005-08-22,626
rental,2005-08-23,598
rental,2006-02-14,182
