rental_id,rental_rate,rental_duration,rental_date,return_date,payment_count,total_payment_amount,amount_difference,first_payment_date
4790,4.99,4,2005-07-08,2005-07-11,1,4.99,0.00,2007-04-08
3936,0.99,3,2005-07-06,2005-07-08,1,0.99,0.00,2007-04-06
12502,4.99,4,2005-08-18,2005-08-19,1,4.99,0.00,2007-03-18
5468,0.99,6,2005-07-09,2005-07-13,1,0.99,0.00,2007-04-09
13520,0.99,5,2005-08-20,2005-08-22,1,0.99,0.00,2007-03-20
2466,0.99,4,2005-06-18,2005-06-20,1,0.99,0.00,2007-02-18
5697,4.99,7,2005-07-10,2005-07-12,1,4.99,0.00,2007-04-10
4321,4.99,7,2005-07-07,2005-07-11,1,4.99,0.00,2007-04-07
11092,4.99,6,2005-08-02,2005-08-04,1,4.99,0.00,2007-03-02
6373,0.99,3,2005-07-11,2005-07-13,1,0.99,0.00,2007-04-11
4976,4.99,4,2005-07-09,2005-07-10,1,4.99,0.00,2007-04-08
10792,2.99,7,2005-08-01,2005-08-02,1,2.99,0.00,2007-03-01
2204,2.99,6,2005-06-18,2005-06-24,1,2.99,0.00,2007-02-18
3762,4.99,7,2005-07-06,2005-07-12,1,4.99,0.00,2007-04-06
4116,4.99,5,2005-07-07,2005-07-11,1,4.99,0.00,2007-04-07
10073,2.99,7,2005-07-31,2005-08-05,1,2.99,0.00,2007-04-30
15805,4.99,4,2005-08-23,2005-08-25,1,4.99,0.00,2007-03-23
10454,4.99,7,2005-08-01,2005-08-04,1,4.99,0.00,2007-03-01
7499,4.99,6,2005-07-27,2005-07-30,1,4.99,0.00,2007-04-27
12251,4.99,7,2005-08-18,2005-08-19,1,4.99,0.00,2007-03-18
8869,0.99,6,2005-07-30,2005-07-31,1,0.99,0.00,2007-04-29
4289,0.99,7,2005-07-07,2005-07-09,1,0.99,0.00,2007-04-07
6127,0.99,6,2005-07-11,2005-07-12,1,0.99,0.00,2007-04-11
14913,2.99,7,2005-08-22,2005-08-23,1,2.99,0.00,2007-03-22
8724,0.99,7,2005-07-29,2005-08-01,1,0.99,0.00,2007-04-29
12961,2.99,7,2005-08-19,2005-08-23,1,2.99,0.00,2007-03-19
2721,2.99,7,2005-06-19,2005-06-21,1,2.99,0.00,2007-02-19
5604,0.99,5,2005-07-10,2005-07-12,1,0.99,0.00,2007-04-10
13035,0.99,5,2005-08-19,2005-08-22,1,0.99,0.00,2007-03-19
8228,4.99,7,2005-07-29,2005-08-03,1,4.99,0.00,2007-04-28
3834,2.99,7,2005-07-06,2005-07-13,1,2.99,0.00,2007-04-06
9306,0.99,5,2005-07-30,2005-08-02,1,0.99,0.00,2007-04-30
6861,2.99,7,2005-07-12,2005-07-13,1,2.99,0.00,2007-04-12
5644,4.99,5,2005-07-10,2005-07-15,1,4.99,0.00,2007-04-10
14764,0.99,6,2005-08-21,2005-08-24,1,0.99,0.00,2007-03-21
2543,0.99,7,2005-06-19,2005-06-21,1,0.99,0.00,2007-02-19
6775,4.99,7,2005-07-12,2005-07-19,1,4.99,0.00,2007-04-12
4078,4.99,4,2005-07-07,2005-07-10,1,4.99,0.00,2007-04-07
5436,2.99,6,2005-07-09,2005-07-13,1,2.99,0.00,2007-04-09
15945,2.99,6,2005-08-23,2005-08-28,1,2.99,0.00,2007-03-23
9362,0.99,4,2005-07-30,2005-08-01,1,0.99,0.00,2007-04-30
9491,4.99,3,2005-07-30,2005-08-01,1,4.99,0.00,2007-04-30
15177,4.99,4,2005-08-22,2005-08-26,1,4.99,0.00,2007-03-22
13866,0.99,3,2005-08-20,2005-08-23,1,0.99,0.00,2007-03-20
14655,4.99,7,2005-08-21,2005-08-22,1,4.99,0.00,2007-03-21
2544,4.99,4,2005-06-19,2005-06-22,1,4.99,0.00,2007-02-19
13475,4.99,5,2005-08-20,2005-08-20,1,4.99,0.00,2007-03-19
12525,4.99,5,2005-08-18,2005-08-23,1,4.99,0.00,2007-03-18
13273,4.99,7,2005-08-19,2005-08-21,1,4.99,0.00,2007-03-19
4754,0.99,7,2005-07-08,2005-07-11,1,0.99,0.00,2007-04-08
13272,0.99,4,2005-08-19,2005-08-23,1,0.99,0.00,2007-03-19
7418,2.99,4,2005-07-27,2005-07-29,1,2.99,0.00,2007-04-27
14747,4.99,5,2005-08-21,2005-08-26,1,4.99,0.00,2007-03-21
3442,2.99,7,2005-06-21,2005-06-25,1,2.99,0.00,2007-02-21
2952,2.99,4,2005-06-20,2005-06-22,1,2.99,0.00,2007-02-20
13184,4.99,7,2005-08-19,2005-08-20,1,4.99,0.00,2007-03-19
10385,4.99,5,2005-08-01,2005-08-06,1,4.99,0.00,2007-03-01
11752,4.99,5,2005-08-17,2005-08-18,1,4.99,0.00,2007-03-17
11157,0.99,4,2005-08-02,2005-08-06,1,0.99,0.00,2007-03-02
13831,4.99,6,2005-08-20,2005-08-24,1,4.99,0.00,2007-03-20
7154,4.99,4,2005-07-27,2005-07-28,1,4.99,0.00,2007-04-27
12045,4.99,7,2005-08-17,2005-08-20,1,4.99,0.00,2007-03-17
8401,4.99,5,2005-07-29,2005-08-01,1,4.99,0.00,2007-04-29
4645,2.99,7,2005-07-08,2005-07-09,1,2.99,0.00,2007-04-08
13030,2.99,6,2005-08-19,2005-08-24,1,2.99,0.00,2007-03-19
2073,2.99,4,2005-06-17,2005-06-19,1,2.99,0.00,2007-02-17
9890,4.99,6,2005-07-31,2005-08-01,1,4.99,0.00,2007-04-30
6786,2.99,7,2005-07-12,2005-07-16,1,2.99,0.00,2007-04-12
14659,0.99,6,2005-08-21,2005-08-26,1,0.99,0.00,2007-03-21
13094,0.99,7,2005-08-19,2005-08-21,1,0.99,0.00,2007-03-19
6631,0.99,5,2005-07-12,2005-07-15,1,0.99,0.00,2007-04-12
7691,4.99,4,2005-07-28,2005-07-29,1,4.99,0.00,2007-04-28
14662,0.99,3,2005-08-21,2005-08-23,1,0.99,0.00,2007-03-21
4921,4.99,4,2005-07-08,2005-07-10,1,4.99,0.00,2007-04-08
14626,2.99,7,2005-08-21,2005-08-25,1,2.99,0.00,2007-03-21
3882,4.99,7,2005-07-06,2005-07-09,1,4.99,0.00,2007-04-06
15436,4.99,6,2005-08-23,2005-08-28,1,4.99,0.00,2007-03-22
6495,4.99,5,2005-07-12,2005-07-14,1,4.99,0.00,2007-04-12
6091,4.99,5,2005-07-11,2005-07-15,1,4.99,0.00,2007-04-11
12074,0.99,6,2005-08-17,2005-08-20,1,0.99,0.00,2007-03-17
12836,0.99,6,2005-08-19,2005-08-23,1,0.99,0.00,2007-03-19
15629,4.99,6,2005-08-23,2005-08-29,1,4.99,0.00,2007-03-23
9413,0.99,3,2005-07-30,2005-08-01,1,0.99,0.00,2007-04-30
13445,2.99,5,2005-08-20,2005-08-21,1,2.99,0.00,2007-03-19
7711,4.99,6,2005-07-28,2005-07-29,1,4.99,0.00,2007-04-28
7520,2.99,7,2005-07-27,2005-07-28,1,2.99,0.00,2007-04-27
10042,2.99,6,2005-07-31,2005-08-06,1,2.99,0.00,2007-04-30
3890,4.99,6,2005-07-06,2005-07-10,1,4.99,0.00,2007-04-06
8814,4.99,3,2005-07-29,2005-08-01,1,4.99,0.00,2007-04-29
15046,4.99,5,2005-08-22,2005-08-26,1,4.99,0.00,2007-03-22
4702,4.99,5,2005-07-08,2005-07-10,1,4.99,0.00,2007-04-08
