rental_id,rental_rate,rental_duration,rental_date,return_date,due_date,days_late,payment_count,total_payment_amount,amount_due,amount_difference,first_payment_date
4591,0.99,6,2005-07-08,2005-07-17,2005-07-14,3,5,12.95,3.99,8.96,2007-02-18
13093,2.99,3,2005-08-19,2005-08-26,2005-08-22,4,1,6.99,6.99,0.00,2007-03-19
4326,4.99,3,2005-07-07,2005-07-16,2005-07-10,6,1,10.99,10.99,0.00,2007-04-07
2520,4.99,7,2005-06-19,2005-06-28,2005-06-26,2,1,6.99,6.99,0.00,2007-02-18
9038,2.99,6,2005-07-30,2005-08-06,2005-08-05,1,1,3.99,3.99,0.00,2007-04-30
9719,4.99,4,2005-07-31,2005-08-05,2005-08-04,1,1,5.99,5.99,0.00,2007-04-30
1552,4.99,4,2005-06-16,2005-06-21,2005-06-20,1,1,5.99,5.99,0.00,2007-02-16
5038,2.99,3,2005-07-09,2005-07-17,2005-07-12,5,1,7.99,7.99,0.00,2007-04-09
1373,0.99,6,2005-06-15,2005-06-22,2005-06-21,1,1,1.99,1.99,0.00,2007-02-15
1268,0.99,7,2005-06-15,2005-06-23,2005-06-22,1,1,1.99,1.99,0.00,2007-02-15
8057,4.99,3,2005-07-28,2005-08-03,2005-07-31,3,1,7.99,7.99,0.00,2007-04-28
13048,2.99,7,2005-08-19,2005-08-28,2005-08-26,2,1,4.99,4.99,0.00,2007-03-19
1595,4.99,3,2005-06-16,2005-06-20,2005-06-19,1,1,5.99,5.99,0.00,2007-02-16
10399,0.99,4,2005-08-01,2005-08-10,2005-08-05,5,1,5.99,5.99,0.00,2007-03-01
8873,0.99,5,2005-07-30,2005-08-04,2005-08-04,0,1,0.99,0.99,0.00,2007-04-29
11158,2.99,4,2005-08-02,2005-08-10,2005-08-06,4,1,6.99,6.99,0.00,2007-03-02
8660,4.99,5,2005-07-29,2005-08-05,2005-08-03,2,1,6.99,6.99,0.00,2007-04-29
12629,4.99,5,2005-08-18,2005-08-26,2005-08-23,3,1,7.99,7.99,0.00,2007-03-18
3071,0.99,4,2005-06-20,2005-06-24,2005-06-24,0,1,0.99,0.99,0.00,2007-02-20
8457,4.99,4,2005-07-29,2005-08-04,2005-08-02,2,1,6.99,6.99,0.00,2007-04-29
4452,4.99,4,2005-07-07,2005-07-14,2005-07-11,3,1,7.99,7.99,0.00,2007-04-07
9720,4.99,5,2005-07-31,2005-08-07,2005-08-05,2,1,6.99,6.99,0.00,2007-04-30
15271,0.99,3,2005-08-22,2005-08-30,2005-08-25,5,1,5.99,5.99,0.00,2007-03-22
1287,2.99,6,2005-06-15,2005-06-22,2005-06-21,1,1,3.99,3.99,0.00,2007-02-15
6258,2.99,3,2005-07-11,2005-07-18,2005-07-14,4,1,6.99,6.99,0.00,2007-04-11
3840,2.99,6,2005-07-06,2005-07-15,2005-07-12,3,1,5.99,5.99,0.00,2007-04-06
10431,4.99,5,2005-08-01,2005-08-07,2005-08-06,1,1,5.99,5.99,0.00,2007-03-01
3199,2.99,4,2005-06-21,2005-06-27,2005-06-25,2,1,4.99,4.99,0.00,2007-02-20
6445,4.99,5,2005-07-12,2005-07-17,2005-07-17,0,1,4.99,4.99,0.00,2007-04-11
14205,4.99,7,2005-08-21,2005-08-30,2005-08-28,2,1,6.99,6.99,0.00,2007-03-21
15851,0.99,4,2005-08-23,2005-08-29,2005-08-27,2,1,2.99,2.99,0.00,2007-03-23
6458,2.99,4,2005-07-12,2005-07-16,2005-07-16,0,1,2.99,2.99,0.00,2007-04-11
7064,2.99,6,2005-07-27,2005-08-03,2005-08-02,1,1,3.99,3.99,0.00,2007-04-27
7946,4.99,4,2005-07-28,2005-08-03,2005-08-01,2,1,6.99,6.99,0.00,2007-04-28
12248,4.99,3,2005-08-18,2005-08-22,2005-08-21,1,1,5.99,5.99,0.00,2007-03-18
12622,2.99,5,2005-08-18,2005-08-24,2005-08-23,1,1,3.99,3.99,0.00,2007-03-18
2773,4.99,6,2005-06-19,2005-06-28,2005-06-25,3,1,7.99,7.99,0.00,2007-02-19
8647,2.99,4,2005-07-29,2005-08-06,2005-08-02,4,1,6.99,6.99,0.00,2007-04-29
12870,2.99,7,2005-08-19,2005-08-27,2005-08-26,1,1,3.99,3.99,0.00,2007-03-19
