address_district,frequency,percentage
Buenos Aires,10,1.66
West Bengali,9,1.49
California,9,1.49
Shandong,9,1.49
Uttar Pradesh,8,1.33
So Paulo,8,1.33
Maharashtra,7,1.16
England,7,1.16
Southern Tagalog,6,1.00
Texas,5,0.83
Tamil Nadu,5,0.83
Punjab,5,0.83
Hubei,5,0.83
Gois,5,0.83
Karnataka,5,0.83
Moskova,4,0.66
Gauteng,4,0.66
Guangdong,4,0.66
Taipei,4,0.66
Mxico,4,0.66
West Java,4,0.66
Oyo & Osun,4,0.66
Inner Mongolia,4,0.66
Guanajuato,4,0.66
Illinois,4,0.66
Rajasthan,4,0.66
Henan,3,0.50
Liaoning,3,0.50
Okayama,3,0.50
Ondo & Ekiti,3,0.50
Rio Grande do Sul,3,0.50
Central Java,3,0.50
Slaskie,3,0.50
Andhra Pradesh,3,0.50
Sichuan,3,0.50
Sumy,3,0.50
Central,3,0.50
Coahuila de Zaragoza,3,0.50
Minas Gerais,3,0.50
,3,0.50
Gujarat,3,0.50
Bihar,3,0.50
Dhaka,3,0.50
Madhya Pradesh,3,0.50
Ontario,3,0.50
Nordrhein-Westfalen,3,0.50
Saitama,3,0.50
Galicia,3,0.50
Hiroshima,3,0.50
Esfahan,3,0.50
Central Luzon,3,0.50
Mekka,2,0.33
Heilongjiang,2,0.33
Ha Darom,2,0.33
Shanxi,2,0.33
Jalisco,2,0.33
North West,2,0.33
East Java,2,0.33
Gelderland,2,0.33
Florida,2,0.33
Caraga,2,0.33
Tahiti,2,0.33
Distrito Federal,2,0.33
al-Qalyubiya,2,0.33
Ohio,2,0.33
Tatarstan,2,0.33
Yamaguchi,2,0.33
Hunan,2,0.33
Tokyo-to,2,0.33
Chihuahua,2,0.33
QLD,2,0.33
Michigan,2,0.33
Adana,2,0.33
Jiangsu,2,0.33
KwaZulu-Natal,2,0.33
Xinxiang,2,0.33
Kanagawa,2,0.33
Fukushima,2,0.33
Lipetsk,2,0.33
Haryana,2,0.33
Northern Mindanao,2,0.33
Jharkhand,2,0.33
Hidalgo,2,0.33
Missouri,2,0.33
Alberta,2,0.33
Sind,2,0.33
Tel Aviv,2,0.33
Kaduna,2,0.33
Michoacn de Ocampo,2,0.33
Risaralda,2,0.33
al-Sharqiya,2,0.33
Lombardia,2,0.33
Sucre,2,0.33
Jilin,2,0.33
Krasnojarsk,2,0.33
Khanh Hoa,2,0.33
Gansu,2,0.33
Zhejiang,2,0.33
Abu Dhabi,2,0.33
Osaka,2,0.33
Nantou,2,0.33
Tennessee,2,0.33
Kerala,2,0.33
National Capital Reg,2,0.33
Morelos,2,0.33
Brunei and Muara,1,0.17
Tete,1,0.17
Miranda,1,0.17
Kyonggi,1,0.17
Skikda,1,0.17
Oriental,1,0.17
St George,1,0.17
Kowloon and New Kowl,1,0.17
Kujawsko-Pomorskie,1,0.17
Baja California,1,0.17
Wielkopolskie,1,0.17
Pohjois-Pohjanmaa,1,0.17
Severn Morava,1,0.17
Sumqayit,1,0.17
Gaziantep,1,0.17
St Thomas,1,0.17
Massachusetts,1,0.17
Kabol,1,0.17
Haiphong,1,0.17
Cheju,1,0.17
Virginia,1,0.17
Chiayi,1,0.17
Gurico,1,0.17
Hebei,1,0.17
