city_city,frequency,percentage
London,2,0.33
Taguig,1,0.17
Tokat,1,0.17
Atlixco,1,0.17
Mukateve,1,0.17
Pontianak,1,0.17
Gatineau,1,0.17
Saint-Denis,1,0.17
Molodetno,1,0.17
Yingkou,1,0.17
Changhwa,1,0.17
Rampur,1,0.17
Caracas,1,0.17
Apeldoorn,1,0.17
Omdurman,1,0.17
Mwanza,1,0.17
Satna,1,0.17
Hanoi,1,0.17
San Bernardino,1,0.17
Battambang,1,0.17
Boksburg,1,0.17
Ogbomosho,1,0.17
Idfu,1,0.17
Bradford,1,0.17
Gorontalo,1,0.17
Ilorin,1,0.17
Grand Prairie,1,0.17
Leshan,1,0.17
Syrakusa,1,0.17
Arecibo,1,0.17
Salinas,1,0.17
Toulouse,1,0.17
NDjamna,1,0.17
Berhampore (Baharampur),1,0.17
Almirante Brown,1,0.17
Tafuna,1,0.17
Najafabad,1,0.17
Jhansi,1,0.17
Maracabo,1,0.17
Touliu,1,0.17
Karnal,1,0.17
Shahr-e Kord,1,0.17
Nador,1,0.17
Zhezqazghan,1,0.17
Udaipur,1,0.17
Zaoyang,1,0.17
Portoviejo,1,0.17
Yantai,1,0.17
Moscow,1,0.17
Zapopan,1,0.17
Allappuzha (Alleppey),1,0.17
Smolensk,1,0.17
Iwatsuki,1,0.17
Etawah,1,0.17
Oyo,1,0.17
al-Qadarif,1,0.17
Tabora,1,0.17
Lungtan,1,0.17
Oshawa,1,0.17
Omiya,1,0.17
Jastrzebie-Zdrj,1,0.17
Woodridge,1,0.17
Lilongwe,1,0.17
Hamilton,1,0.17
Ashdod,1,0.17
Lubumbashi,1,0.17
Pathankot,1,0.17
Chisinau,1,0.17
Bayugan,1,0.17
Weifang,1,0.17
Santa Brbara dOeste,1,0.17
Roanoke,1,0.17
Korla,1,0.17
Angra dos Reis,1,0.17
Tychy,1,0.17
al-Hawiya,1,0.17
Bhilwara,1,0.17
Serpuhov,1,0.17
Bern,1,0.17
Araatuba,1,0.17
Salamanca,1,0.17
Balikesir,1,0.17
Chapra,1,0.17
Lublin,1,0.17
Florencia,1,0.17
Carmen,1,0.17
Sogamoso,1,0.17
Tieli,1,0.17
Jinchang,1,0.17
Salzburg,1,0.17
Kaduna,1,0.17
Peoria,1,0.17
Jinzhou,1,0.17
Hodeida,1,0.17
Osmaniye,1,0.17
Asuncin,1,0.17
Batna,1,0.17
Ponce,1,0.17
Augusta-Richmond County,1,0.17
Tuguegarao,1,0.17
Amroha,1,0.17
Oulu,1,0.17
Bilbays,1,0.17
El Monte,1,0.17
guas Lindas de Gois,1,0.17
Juiz de Fora,1,0.17
Sanaa,1,0.17
Tete,1,0.17
al-Ayn,1,0.17
Vicente Lpez,1,0.17
Citt del Vaticano,1,0.17
Skikda,1,0.17
Jamalpur,1,0.17
Shaoguan,1,0.17
Ipoh,1,0.17
Ueda,1,0.17
Changzhou,1,0.17
Compton,1,0.17
Baiyin,1,0.17
Brescia,1,0.17
Sal,1,0.17
Usolje-Sibirskoje,1,0.17
Bucuresti,1,0.17
South Hill,1,0.17
Shenzhen,1,0.17
Adoni,1,0.17
Cuernavaca,1,0.17
Bandar Seri Begawan,1,0.17
Miyakonojo,1,0.17
Haiphong,1,0.17
Cheju,1,0.17
Uttarpara-Kotrung,1,0.17
Ede,1,0.17
s-Hertogenbosch,1,0.17
Chiayi,1,0.17
Athenai,1,0.17
Dayton,1,0.17
Poos de Caldas,1,0.17
Kanchrapara,1,0.17
Maikop,1,0.17
Xintai,1,0.17
Kowloon and New Kowloon,1,0.17
Uijongbu,1,0.17
Springs,1,0.17
Cuauhtmoc,1,0.17
Rae Bareli,1,0.17
San Felipe de Puerto Plata,1,0.17
Benin City,1,0.17
Huixquilucan,1,0.17
Arlington,1,0.17
Inegl,1,0.17
Garden Grove,1,0.17
Quilmes,1,0.17
Meixian,1,0.17
Baku,1,0.17
Ozamis,1,0.17
Botshabelo,1,0.17
Ourense (Orense),1,0.17
Tama,1,0.17
Sasebo,1,0.17
Namibe,1,0.17
Gingoog,1,0.17
Halisahar,1,0.17
Ljubertsy,1,0.17
Bydgoszcz,1,0.17
Qalyub,1,0.17
Ondo,1,0.17
Gijn,1,0.17
Bislig,1,0.17
Tonghae,1,0.17
Bamenda,1,0.17
Abha,1,0.17
Davao,1,0.17
Tel Aviv-Jaffa,1,0.17
Tangail,1,0.17
San Felipe del Progreso,1,0.17
Vitria de Santo Anto,1,0.17
Sousse,1,0.17
Bhusawal,1,0.17
Robamba,1,0.17
Sagamihara,1,0.17
Boa Vista,1,0.17
Jalib al-Shuyukh,1,0.17
Yinchuan,1,0.17
Lincoln,1,0.17
Bchar,1,0.17
Abu Dhabi,1,0.17
Eskisehir,1,0.17
Nezahualcyotl,1,0.17
Enshi,1,0.17
Dadu,1,0.17
Antofagasta,1,0.17
Madiun,1,0.17
Kurashiki,1,0.17
Merlo,1,0.17
Katihar,1,0.17
Iwaki,1,0.17
Usak,1,0.17
Tiefa,1,0.17
Yamuna Nagar,1,0.17
Deba Habe,1,0.17
Owo,1,0.17
Laiwu,1,0.17
Kilis,1,0.17
Benguela,1,0.17
Alvorada,1,0.17
Bhavnagar,1,0.17
Lhokseumawe,1,0.17
Dhaka,1,0.17
Bijapur,1,0.17
Pyongyang,1,0.17
San Lorenzo,1,0.17
Isesaki,1,0.17
Ibirit,1,0.17
Ezeiza,1,0.17
Sincelejo,1,0.17
La Paz,1,0.17
Hunuco,1,0.17
Beira,1,0.17
Johannesburg,1,0.17
Dongying,1,0.17
Hiroshima,1,0.17
Tabuk,1,0.17
Surakarta,1,0.17
Sharja,1,0.17
Bratislava,1,0.17
Cayenne,1,0.17
Songkhla,1,0.17
Tarlac,1,0.17
Toulon,1,0.17
York,1,0.17
Tegal,1,0.17
Taizz,1,0.17
Ahmadnagar,1,0.17
Pereira,1,0.17
Sultanbeyli,1,0.17
Tsaotun,1,0.17
Belm,1,0.17
So Bernardo do Campo,1,0.17
Okara,1,0.17
Cabuyao,1,0.17
Vila Velha,1,0.17
Purnea (Purnia),1,0.17
Halle/Saale,1,0.17
Luzinia,1,0.17
Mandaluyong,1,0.17
Celaya,1,0.17
Fuzhou,1,0.17
Ivanovo,1,0.17
Fengshan,1,0.17
Manchester,1,0.17
Ezhou,1,0.17
Brockton,1,0.17
Tartu,1,0.17
Kamarhati,1,0.17
Udine,1,0.17
Sunnyvale,1,0.17
Chatsworth,1,0.17
Mogiljov,1,0.17
Kermanshah,1,0.17
Nha Trang,1,0.17
Korolev,1,0.17
Papeete,1,0.17
Jos Azueta,1,0.17
Allende,1,0.17
Goinia,1,0.17
Kamakura,1,0.17
Daxian,1,0.17
Sambhal,1,0.17
Akron,1,0.17
Kamyin,1,0.17
Jining,1,0.17
Banjul,1,0.17
Lengshuijiang,1,0.17
Aurora,1,0.17
Pak Kret,1,0.17
Ciudad del Este,1,0.17
Valle de Santiago,1,0.17
Crdoba,1,0.17
Haldia,1,0.17
Ambattur,1,0.17
Acua,1,0.17
Qomsheh,1,0.17
Binzhou,1,0.17
Baicheng,1,0.17
Gulbarga,1,0.17
Kanazawa,1,0.17
Jurez,1,0.17
Chandrapur,1,0.17
Shanwei,1,0.17
Braslia,1,0.17
Sawhaj,1,0.17
Sucre,1,0.17
Mardan,1,0.17
Huejutla de Reyes,1,0.17
Cuman,1,0.17
Koriyama,1,0.17
Cape Coral,1,0.17
Czestochowa,1,0.17
Sungai Petani,1,0.17
Kitwe,1,0.17
Chungho,1,0.17
Monclova,1,0.17
A Corua (La Corua),1,0.17
Anpolis,1,0.17
Otsu,1,0.17
Citrus Heights,1,0.17
Daugavpils,1,0.17
Junan,1,0.17
Jaffna,1,0.17
