customer_first_name,frequency,percentage
Marion,2,0.33
Jamie,2,0.33
Tracy,2,0.33
Kelly,2,0.33
Leslie,2,0.33
Willie,2,0.33
Jessie,2,0.33
Terry,2,0.33
Geraldine,1,0.17
Carolyn,1,0.17
Nancy,1,0.17
Adrian,1,0.17
Ray,1,0.17
Kenneth,1,0.17
Mathew,1,0.17
Lydia,1,0.17
Jaime,1,0.17
Victoria,1,0.17
Carlos,1,0.17
Grace,1,0.17
Tammy,1,0.17
Steve,1,0.17
Vernon,1,0.17
Justin,1,0.17
Susan,1,0.17
Tony,1,0.17
Wayne,1,0.17
Irma,1,0.17
Sherri,1,0.17
Rita,1,0.17
Jenny,1,0.17
Renee,1,0.17
Bobby,1,0.17
Henry,1,0.17
Wendy,1,0.17
Kyle,1,0.17
Dan,1,0.17
Herbert,1,0.17
Lillie,1,0.17
Leona,1,0.17
Loretta,1,0.17
Jennie,1,0.17
Minnie,1,0.17
Lloyd,1,0.17
Shelly,1,0.17
Jorge,1,0.17
Bobbie,1,0.17
Brad,1,0.17
Louis,1,0.17
Andrea,1,0.17
Kimberly,1,0.17
Maurice,1,0.17
Brittany,1,0.17
Vanessa,1,0.17
Roberto,1,0.17
Ethel,1,0.17
Betty,1,0.17
Alicia,1,0.17
Valerie,1,0.17
Jeff,1,0.17
Gilbert,1,0.17
Nellie,1,0.17
Andy,1,0.17
Jesus,1,0.17
Christina,1,0.17
Robert,1,0.17
Ian,1,0.17
Jesse,1,0.17
Kurt,1,0.17
Morris,1,0.17
Maria,1,0.17
Glenda,1,0.17
Lauren,1,0.17
Elizabeth,1,0.17
Donna,1,0.17
Victor,1,0.17
Doris,1,0.17
Kathryn,1,0.17
Gloria,1,0.17
Denise,1,0.17
Carmen,1,0.17
Franklin,1,0.17
Pauline,1,0.17
Duane,1,0.17
Maxine,1,0.17
Sue,1,0.17
Kathy,1,0.17
Naomi,1,0.17
Gerald,1,0.17
Arlene,1,0.17
Agnes,1,0.17
Danielle,1,0.17
Don,1,0.17
Charles,1,0.17
Gwendolyn,1,0.17
Amanda,1,0.17
Gertrude,1,0.17
Nora,1,0.17
Karen,1,0.17
Perry,1,0.17
Craig,1,0.17
Byron,1,0.17
Chester,1,0.17
Patsy,1,0.17
Dianne,1,0.17
Walter,1,0.17
Ella,1,0.17
Edgar,1,0.17
Bruce,1,0.17
Gary,1,0.17
Lillian,1,0.17
Lynn,1,0.17
Sherry,1,0.17
Jeremy,1,0.17
Louise,1,0.17
James,1,0.17
Darryl,1,0.17
Janet,1,0.17
Daniel,1,0.17
Benjamin,1,0.17
Rose,1,0.17
Milton,1,0.17
Diana,1,0.17
Beverly,1,0.17
Annette,1,0.17
Robin,1,0.17
Lois,1,0.17
Samuel,1,0.17
Mario,1,0.17
Vincent,1,0.17
Laurie,1,0.17
Hugh,1,0.17
Tyrone,1,0.17
Dale,1,0.17
Judy,1,0.17
Connie,1,0.17
Felix,1,0.17
Andre,1,0.17
Bessie,1,0.17
Rosemary,1,0.17
Kent,1,0.17
Shirley,1,0.17
Douglas,1,0.17
Claudia,1,0.17
Peggy,1,0.17
Marsha,1,0.17
Terri,1,0.17
Willard,1,0.17
Billie,1,0.17
Isaac,1,0.17
Velma,1,0.17
Elsie,1,0.17
Tina,1,0.17
Richard,1,0.17
Sharon,1,0.17
Esther,1,0.17
Leonard,1,0.17
Andrew,1,0.17
Melanie,1,0.17
Bryan,1,0.17
Billy,1,0.17
Monica,1,0.17
Cheryl,1,0.17
Stacy,1,0.17
Thomas,1,0.17
Francisco,1,0.17
Eugene,1,0.17
Dustin,1,0.17
Jacob,1,0.17
Jordan,1,0.17
Brett,1,0.17
Phyllis,1,0.17
Leon,1,0.17
Bonnie,1,0.17
Nathaniel,1,0.17
Jose,1,0.17
Jane,1,0.17
Eduardo,1,0.17
Freddie,1,0.17
Eddie,1,0.17
Lisa,1,0.17
Michael,1,0.17
Eileen,1,0.17
Dean,1,0.17
Mike,1,0.17
William,1,0.17
Randy,1,0.17
Alfredo,1,0.17
Melvin,1,0.17
Carla,1,0.17
Joshua,1,0.17
Bernice,1,0.17
Jack,1,0.17
Crystal,1,0.17
Rick,1,0.17
Howard,1,0.17
Harold,1,0.17
Suzanne,1,0.17
Beth,1,0.17
David,1,0.17
Jeffery,1,0.17
Darren,1,0.17
Christopher,1,0.17
Ana,1,0.17
Ron,1,0.17
Ruben,1,0.17
Ramon,1,0.17
Wanda,1,0.17
Patrick,1,0.17
Oscar,1,0.17
Edith,1,0.17
Debra,1,0.17
Tom,1,0.17
Jay,1,0.17
Gregory,1,0.17
Keith,1,0.17
Clifford,1,0.17
Thelma,1,0.17
Eleanor,1,0.17
Jill,1,0.17
Sandra,1,0.17
Paul,1,0.17
Miriam,1,0.17
Gene,1,0.17
Norman,1,0.17
Diane,1,0.17
Sally,1,0.17
Anna,1,0.17
Sara,1,0.17
Marlene,1,0.17
Roland,1,0.17
Ronald,1,0.17
Stephanie,1,0.17
Ross,1,0.17
Heidi,1,0.17
Constance,1,0.17
Ivan,1,0.17
Ben,1,0.17
Kim,1,0.17
Jean,1,0.17
Timothy,1,0.17
Reginald,1,0.17
Frederick,1,0.17
Roberta,1,0.17
Katie,1,0.17
Terrance,1,0.17
Melissa,1,0.17
Curtis,1,0.17
