film_special_features,frequency,percentage
"[""Trailers"",""Commentaries"",""Behind the Scenes""]",79,7.90
"[""Trailers"",""Behind the Scenes""]",72,7.20
"[""Trailers""]",72,7.20
"[""Trailers"",""Commentaries""]",72,7.20
"[""Deleted Scenes"",""Behind the Scenes""]",71,7.10
"[""Commentaries"",""Behind the Scenes""]",70,7.00
"[""Behind the Scenes""]",70,7.00
"[""Commentaries"",""Deleted Scenes"",""Behind the Scenes""]",66,6.60
"[""Trailers"",""Deleted Scenes""]",66,6.60
"[""Commentaries"",""Deleted Scenes""]",65,6.50
"[""Trailers"",""Commentaries"",""Deleted Scenes""]",64,6.40
"[""Commentaries""]",62,6.20
"[""Trailers"",""Commentaries"",""Deleted Scenes"",""Behind the Scenes""]",61,6.10
"[""Deleted Scenes""]",61,6.10
"[""Trailers"",""Deleted Scenes"",""Behind the Scenes""]",49,4.90
