table_name,column_name,is_nullable
store,manager_staff_id,NO
city,city,NO
inventory,film_id,NO
film_category,category_id,NO
staff,first_name,NO
film_actor,film_id,NO
payment,customer_id,NO
film,film_id,NO
city,country_id,NO
address,address,NO
city,city_id,NO
city,last_update,NO
film,rental_rate,NO
customer,store_id,NO
film,replacement_cost,NO
address,address_id,NO
film_actor,last_update,NO
store,last_update,NO
customer,last_name,NO
payment,staff_id,NO
staff,active,NO
customer,customer_id,NO
store,store_id,NO
film_category,last_update,NO
staff,last_name,NO
inventory,store_id,NO
address,district,NO
payment,rental_id,NO
staff,staff_id,NO
customer,first_name,NO
store,address_id,NO
film_category,film_id,NO
rental,staff_id,NO
film,last_update,NO
address,phone,NO
inventory,inventory_id,NO
inventory,last_update,NO
film,title,NO
staff,address_id,NO
payment,payment_id,NO
film_actor,actor_id,NO
customer,activebool,NO
customer,create_date,NO
rental,rental_id,NO
country,last_update,NO
category,name,NO
language,name,NO
staff,store_id,NO
actor,first_name,NO
address,last_update,NO
payment,payment_date,NO
film,language_id,NO
film,fulltext,NO
rental,customer_id,NO
rental,last_update,NO
rental,inventory_id,NO
country,country_id,NO
staff,username,NO
customer,address_id,NO
address,city_id,NO
actor,last_name,NO
country,country,NO
category,last_update,NO
language,last_update,NO
actor,actor_id,NO
rental,rental_date,NO
category,category_id,NO
language,language_id,NO
payment,amount,NO
film,rental_duration,NO
actor,last_update,NO
staff,last_update,NO
staff,password,YES
film,rating,YES
film,special_features,YES
staff,picture,YES
film,description,YES
rental,return_date,YES
film,length,YES
film,release_year,YES
address,address2,YES
address,postal_code,YES
customer,last_update,YES
customer,active,YES
customer,email,YES
staff,email,YES
