customer_last_name,frequency,percentage
Banda,1,0.17
Kruger,1,0.17
Mendoza,1,0.17
Bolin,1,0.17
Harris,1,0.17
Mcadams,1,0.17
Perkins,1,0.17
Wright,1,0.17
Hardison,1,0.17
Ray,1,0.17
Carbone,1,0.17
Weiner,1,0.17
Huey,1,0.17
Mcdonald,1,0.17
Mahan,1,0.17
Olivares,1,0.17
Harkins,1,0.17
Washington,1,0.17
Campbell,1,0.17
Marlow,1,0.17
Clary,1,0.17
Markham,1,0.17
Buford,1,0.17
Garza,1,0.17
Kennedy,1,0.17
Henry,1,0.17
Black,1,0.17
Lowe,1,0.17
Rapp,1,0.17
Arsenault,1,0.17
Deluca,1,0.17
Barclay,1,0.17
Gamez,1,0.17
Carlson,1,0.17
Smith,1,0.17
South,1,0.17
Meek,1,0.17
Carranza,1,0.17
Ruiz,1,0.17
Yanez,1,0.17
Clark,1,0.17
Gaither,1,0.17
Wheeler,1,0.17
Gannon,1,0.17
Bess,1,0.17
Dixon,1,0.17
Martel,1,0.17
Miles,1,0.17
Knight,1,0.17
Gilbert,1,0.17
Mccarter,1,0.17
Ricketts,1,0.17
Jennings,1,0.17
Andrews,1,0.17
Diaz,1,0.17
Coleman,1,0.17
Hamilton,1,0.17
Cunningham,1,0.17
Rea,1,0.17
Sims,1,0.17
Robert,1,0.17
Berry,1,0.17
Watkins,1,0.17
Burke,1,0.17
Morris,1,0.17
Still,1,0.17
Hunt,1,0.17
Tomlin,1,0.17
Trout,1,0.17
Hauser,1,0.17
Gillette,1,0.17
Byrd,1,0.17
Linton,1,0.17
Tobias,1,0.17
Griffin,1,0.17
Bowman,1,0.17
Franklin,1,0.17
Jensen,1,0.17
Chisholm,1,0.17
Cary,1,0.17
Teel,1,0.17
Schrader,1,0.17
Anderson,1,0.17
Millard,1,0.17
Fortner,1,0.17
Perez,1,0.17
Forman,1,0.17
Shanks,1,0.17
Culpepper,1,0.17
Moreno,1,0.17
Sanchez,1,0.17
Tirado,1,0.17
Gardiner,1,0.17
Perry,1,0.17
