address_address,frequency,percentage
741 Ambattur Manor,1,0.17
635 Brest Manor,1,0.17
1596 Acua Parkway,1,0.17
355 Vitria de Santo Anto Way,1,0.17
1952 Chatsworth Drive,1,0.17
1894 Boa Vista Way,1,0.17
1909 Benguela Lane,1,0.17
848 Tafuna Manor,1,0.17
1557 Ktahya Boulevard,1,0.17
316 Uruapan Street,1,0.17
1819 Alessandria Loop,1,0.17
1944 Bamenda Way,1,0.17
984 Novoterkassk Loop,1,0.17
1913 Hanoi Way,1,0.17
51 Laredo Avenue,1,0.17
1673 Tangail Drive,1,0.17
1485 Bratislava Place,1,0.17
1785 So Bernardo do Campo Street,1,0.17
1888 Kabul Drive,1,0.17
1152 Citrus Heights Manor,1,0.17
1440 Fukuyama Loop,1,0.17
1121 Loja Avenue,1,0.17
1697 Kowloon and New Kowloon Loop,1,0.17
1675 Xiangfan Manor,1,0.17
521 San Juan Bautista Tuxtepec Place,1,0.17
496 Celaya Drive,1,0.17
1497 Fengshan Drive,1,0.17
1013 Tabuk Boulevard,1,0.17
1949 Sanya Street,1,0.17
431 Szkesfehrvr Avenue,1,0.17
533 al-Ayn Boulevard,1,0.17
1986 Sivas Place,1,0.17
1877 Ezhou Lane,1,0.17
456 Escobar Way,1,0.17
909 Garland Manor,1,0.17
1078 Stara Zagora Drive,1,0.17
956 Nam Dinh Manor,1,0.17
757 Rustenburg Avenue,1,0.17
185 Mannheim Lane,1,0.17
1948 Bayugan Parkway,1,0.17
543 Bergamo Avenue,1,0.17
1289 Belm Boulevard,1,0.17
1351 Aparecida de Goinia Parkway,1,0.17
954 Kimchon Place,1,0.17
1842 Luzinia Boulevard,1,0.17
1124 Buenaventura Drive,1,0.17
1229 Varanasi (Benares) Manor,1,0.17
817 Laredo Avenue,1,0.17
710 San Felipe del Progreso Avenue,1,0.17
1027 Songkhla Manor,1,0.17
613 Korolev Drive,1,0.17
146 Johannesburg Way,1,0.17
786 Stara Zagora Way,1,0.17
1760 Oshawa Manor,1,0.17
201 Effon-Alaiye Way,1,0.17
1190 0 Place,1,0.17
1926 El Alto Avenue,1,0.17
686 Garland Manor,1,0.17
1854 Okara Boulevard,1,0.17
782 Mosul Street,1,0.17
118 Jaffna Loop,1,0.17
1587 Loja Manor,1,0.17
495 Bhimavaram Lane,1,0.17
269 Cam Ranh Parkway,1,0.17
1027 Banjul Place,1,0.17
1378 Alvorada Avenue,1,0.17
663 Baha Blanca Parkway,1,0.17
781 Shimonoseki Drive,1,0.17
682 Junan Way,1,0.17
817 Bradford Loop,1,0.17
1001 Miyakonojo Lane,1,0.17
659 Vaduz Drive,1,0.17
431 Xiangtan Avenue,1,0.17
954 Lapu-Lapu Way,1,0.17
1293 Nam Dinh Way,1,0.17
45 Aparecida de Goinia Place,1,0.17
770 Bydgoszcz Avenue,1,0.17
596 Huixquilucan Place,1,0.17
144 South Hill Loop,1,0.17
1213 Ranchi Parkway,1,0.17
53 Idfu Parkway,1,0.17
231 Kaliningrad Place,1,0.17
1060 Tandil Lane,1,0.17
616 Hagonoy Avenue,1,0.17
1715 Okayama Street,1,0.17
780 Kimberley Way,1,0.17
929 Tallahassee Loop,1,0.17
182 Nukualofa Drive,1,0.17
1574 Goinia Boulevard,1,0.17
698 Jelets Boulevard,1,0.17
651 Pathankot Loop,1,0.17
226 Halifax Street,1,0.17
1942 Ciparay Parkway,1,0.17
126 Acua Parkway,1,0.17
1002 Ahmadnagar Manor,1,0.17
492 Cam Ranh Street,1,0.17
827 Yuncheng Drive,1,0.17
454 Qinhuangdao Drive,1,0.17
117 Boa Vista Way,1,0.17
660 Jedda Boulevard,1,0.17
1820 Maring Parkway,1,0.17
1746 Faaa Way,1,0.17
98 Stara Zagora Boulevard,1,0.17
1658 Jastrzebie-Zdrj Loop,1,0.17
48 Maracabo Place,1,0.17
1936 Cuman Avenue,1,0.17
922 Vila Velha Loop,1,0.17
1103 Quilmes Boulevard,1,0.17
966 Asuncin Way,1,0.17
1336 Benin City Drive,1,0.17
1029 Dzerzinsk Manor,1,0.17
1679 Antofagasta Street,1,0.17
1206 Dos Quebradas Place,1,0.17
503 Sogamoso Loop,1,0.17
990 Etawah Loop,1,0.17
1628 Nagareyama Lane,1,0.17
41 El Alto Parkway,1,0.17
984 Effon-Alaiye Avenue,1,0.17
457 Tongliao Loop,1,0.17
1133 Rizhao Avenue,1,0.17
1947 Paarl Way,1,0.17
138 Caracas Boulevard,1,0.17
1912 Allende Manor,1,0.17
1922 Miraj Way,1,0.17
999 Sanaa Loop,1,0.17
1489 Kakamigahara Lane,1,0.17
879 Newcastle Way,1,0.17
898 Jining Lane,1,0.17
1557 Cape Coral Parkway,1,0.17
430 Kumbakonam Drive,1,0.17
1964 Gijn Manor,1,0.17
1331 Usak Boulevard,1,0.17
430 Alessandria Loop,1,0.17
1993 0 Loop,1,0.17
1621 Tongliao Avenue,1,0.17
300 Junan Street,1,0.17
1836 Korla Parkway,1,0.17
1443 Mardan Street,1,0.17
1839 Szkesfehrvr Parkway,1,0.17
692 Amroha Drive,1,0.17
203 Tambaram Street,1,0.17
1740 Le Mans Loop,1,0.17
1872 Toulon Loop,1,0.17
953 Hodeida Street,1,0.17
259 Ipoh Drive,1,0.17
1103 Bilbays Parkway,1,0.17
387 Mwene-Ditu Drive,1,0.17
1378 Beira Loop,1,0.17
1217 Konotop Avenue,1,0.17
1421 Quilmes Lane,1,0.17
862 Xintai Lane,1,0.17
1837 Kaduna Parkway,1,0.17
544 Tarsus Boulevard,1,0.17
647 A Corua (La Corua) Street,1,0.17
1009 Zanzibar Lane,1,0.17
1792 Valle de la Pascua Place,1,0.17
753 Ilorin Avenue,1,0.17
1568 Celaya Parkway,1,0.17
1823 Hoshiarpur Lane,1,0.17
983 Santa F Way,1,0.17
734 Bchar Place,1,0.17
771 Yaound Manor,1,0.17
814 Simferopol Loop,1,0.17
60 Poos de Caldas Street,1,0.17
478 Joliet Way,1,0.17
1417 Lancaster Avenue,1,0.17
1294 Firozabad Drive,1,0.17
415 Pune Avenue,1,0.17
1407 Pachuca de Soto Place,1,0.17
1049 Matamoros Parkway,1,0.17
1176 Southend-on-Sea Manor,1,0.17
1166 Changhwa Street,1,0.17
698 Otsu Street,1,0.17
28 MySQL Boulevard,1,0.17
958 Sagamihara Lane,1,0.17
1 Valle de Santiago Avenue,1,0.17
207 Cuernavaca Loop,1,0.17
900 Santiago de Compostela Parkway,1,0.17
163 Augusta-Richmond County Loop,1,0.17
808 Naala-Porto Parkway,1,0.17
1618 Olomouc Manor,1,0.17
345 Oshawa Boulevard,1,0.17
507 Smolensk Loop,1,0.17
671 Graz Street,1,0.17
1153 Allende Way,1,0.17
331 Bydgoszcz Parkway,1,0.17
1727 Matamoros Place,1,0.17
1192 Tongliao Street,1,0.17
1337 Lincoln Parkway,1,0.17
788 Atinsk Street,1,0.17
1464 Kursk Parkway,1,0.17
500 Lincoln Parkway,1,0.17
1752 So Leopoldo Parkway,1,0.17
1884 Shikarpur Avenue,1,0.17
1860 Taguig Loop,1,0.17
1519 Santiago de los Caballeros Loop,1,0.17
1923 Stara Zagora Lane,1,0.17
1542 Tarlac Parkway,1,0.17
152 Kitwe Parkway,1,0.17
32 Pudukkottai Lane,1,0.17
514 Ife Way,1,0.17
421 Yaound Street,1,0.17
1912 Emeishan Drive,1,0.17
1661 Abha Drive,1,0.17
1688 Nador Lane,1,0.17
432 Garden Grove Street,1,0.17
898 Belm Manor,1,0.17
686 Donostia-San Sebastin Lane,1,0.17
434 Ourense (Orense) Manor,1,0.17
