address_postal_code,frequency,percentage
,4,0.66
9668,2,0.33
52137,2,0.33
22474,2,0.33
81766,1,0.17
40899,1,0.17
64682,1,0.17
11363,1,0.17
76990,1,0.17
48942,1,0.17
54132,1,0.17
82624,1,0.17
95093,1,0.17
95824,1,0.17
40509,1,0.17
77464,1,0.17
40195,1,0.17
50805,1,0.17
60622,1,0.17
15819,1,0.17
53145,1,0.17
25787,1,0.17
65213,1,0.17
28396,1,0.17
64709,1,0.17
63502,1,0.17
88002,1,0.17
99124,1,0.17
94878,1,0.17
8439,1,0.17
75444,1,0.17
1545,1,0.17
70664,1,0.17
96204,1,0.17
49298,1,0.17
6802,1,0.17
87272,1,0.17
98484,1,0.17
41775,1,0.17
69517,1,0.17
59571,1,0.17
23616,1,0.17
61195,1,0.17
32515,1,0.17
2738,1,0.17
28587,1,0.17
94399,1,0.17
48960,1,0.17
63667,1,0.17
61244,1,0.17
46063,1,0.17
70385,1,0.17
79814,1,0.17
57807,1,0.17
22824,1,0.17
91400,1,0.17
95179,1,0.17
22870,1,0.17
68146,1,0.17
15643,1,0.17
49812,1,0.17
7122,1,0.17
11067,1,0.17
66639,1,0.17
72771,1,0.17
51990,1,0.17
72394,1,0.17
16744,1,0.17
42141,1,0.17
22236,1,0.17
22173,1,0.17
40792,1,0.17
15992,1,0.17
56254,1,0.17
2800,1,0.17
88408,1,0.17
18043,1,0.17
61507,1,0.17
93896,1,0.17
2012,1,0.17
10885,1,0.17
25866,1,0.17
47929,1,0.17
5239,1,0.17
95444,1,0.17
38594,1,0.17
72878,1,0.17
52671,1,0.17
86587,1,0.17
94239,1,0.17
44274,1,0.17
10800,1,0.17
87057,1,0.17
58124,1,0.17
85505,1,0.17
32347,1,0.17
3924,1,0.17
35575,1,0.17
59255,1,0.17
70923,1,0.17
45142,1,0.17
49521,1,0.17
54749,1,0.17
37288,1,0.17
77397,1,0.17
32716,1,0.17
504,1,0.17
47753,1,0.17
7716,1,0.17
17165,1,0.17
46875,1,0.17
64863,1,0.17
89459,1,0.17
5753,1,0.17
60951,1,0.17
43331,1,0.17
14408,1,0.17
35202,1,0.17
80168,1,0.17
58866,1,0.17
10428,1,0.17
6856,1,0.17
4999,1,0.17
61960,1,0.17
95835,1,0.17
8856,1,0.17
943,1,0.17
95775,1,0.17
26284,1,0.17
9750,1,0.17
85926,1,0.17
81511,1,0.17
25238,1,0.17
13203,1,0.17
64221,1,0.17
65952,1,0.17
33711,1,0.17
93762,1,0.17
6804,1,0.17
22954,1,0.17
92150,1,0.17
25053,1,0.17
77459,1,0.17
35364,1,0.17
54308,1,0.17
4662,1,0.17
49708,1,0.17
76448,1,0.17
93323,1,0.17
7939,1,0.17
17886,1,0.17
3305,1,0.17
40070,1,0.17
78311,1,0.17
48745,1,0.17
50592,1,0.17
64875,1,0.17
68469,1,0.17
76157,1,0.17
34689,1,0.17
14684,1,0.17
77777,1,0.17
47472,1,0.17
60562,1,0.17
69953,1,0.17
54674,1,0.17
69221,1,0.17
20536,1,0.17
23343,1,0.17
33463,1,0.17
55566,1,0.17
63337,1,0.17
59686,1,0.17
47288,1,0.17
5892,1,0.17
18841,1,0.17
14014,1,0.17
66851,1,0.17
1570,1,0.17
21954,1,0.17
48570,1,0.17
33030,1,0.17
38834,1,0.17
85548,1,0.17
82338,1,0.17
27796,1,0.17
57338,1,0.17
67497,1,0.17
57519,1,0.17
77642,1,0.17
91330,1,0.17
6461,1,0.17
40926,1,0.17
79388,1,0.17
59489,1,0.17
97287,1,0.17
36481,1,0.17
76383,1,0.17
57197,1,0.17
81691,1,0.17
19151,1,0.17
97271,1,0.17
3989,1,0.17
71583,1,0.17
72410,1,0.17
94065,1,0.17
32474,1,0.17
4285,1,0.17
47446,1,0.17
97661,1,0.17
49250,1,0.17
73170,1,0.17
29932,1,0.17
