table_name,return_date,frequency_count
rental,2005-05-25,1
rental,2005-05-26,15
rental,2005-05-27,49
rental,2005-05-28,49
rental,2005-05-29,83
rental,2005-05-30,98
rental,2005-05-31,100
rental,2005-06-01,129
rental,2005-06-02,136
rental,2005-06-03,118
rental,2005-06-04,112
rental,2005-06-05,88
rental,2005-06-06,77
rental,2005-06-07,51
rental,2005-06-08,29
rental,2005-06-09,20
rental,2005-06-10,1
rental,2005-06-15,2
rental,2005-06-16,41
rental,2005-06-17,74
rental,2005-06-18,114
rental,2005-06-19,152
rental,2005-06-20,170
rental,2005-06-21,243
rental,2005-06-22,250
rental,2005-06-23,266
rental,2005-06-24,241
rental,2005-06-25,209
rental,2005-06-26,196
rental,2005-06-27,129
rental,2005-06-28,116
rental,2005-06-29,74
rental,2005-06-30,33
rental,2005-07-01,1
rental,2005-07-06,3
rental,2005-07-07,51
rental,2005-07-08,108
rental,2005-07-09,167
rental,2005-07-10,246
rental,2005-07-11,283
rental,2005-07-12,290
rental,2005-07-13,383
rental,2005-07-14,396
rental,2005-07-15,377
rental,2005-07-16,327
rental,2005-07-17,294
rental,2005-07-18,210
rental,2005-07-19,165
rental,2005-07-20,97
rental,2005-07-21,56
rental,2005-07-27,4
rental,2005-07-28,83
rental,2005-07-29,140
rental,2005-07-30,225
rental,2005-07-31,282
rental,2005-08-01,346
rental,2005-08-02,389
rental,2005-08-03,486
rental,2005-08-04,534
rental,2005-08-05,525
rental,2005-08-06,435
rental,2005-08-07,371
rental,2005-08-08,300
rental,2005-08-09,223
rental,2005-08-10,152
rental,2005-08-11,71
rental,2005-08-12,4
rental,2005-08-17,4
rental,2005-08-18,75
rental,2005-08-19,138
rental,2005-08-20,191
rental,2005-08-21,273
rental,2005-08-22,372
rental,2005-08-23,394
rental,2005-08-24,478
rental,2005-08-25,462
rental,2005-08-26,498
rental,2005-08-27,416
rental,2005-08-28,385
rental,2005-08-29,298
rental,2005-08-30,195
rental,2005-08-31,130
rental,2005-09-01,59
rental,2005-09-02,3
rental,,183
