film_id,title,release_year,language_id,rental_duration,rental_rate,length,replacement_cost,rating
133,Chamber Italian,2006,1,7,4.99,117,14.99,NC-17
384,Grosse Wonderful,2006,1,5,4.99,49,19.99,R
8,Airport Pollock,2006,1,6,4.99,54,15.99,R
98,Bright Encounters,2006,1,4,4.99,73,12.99,PG-13
1,Academy Dinosaur,2006,1,6,0.99,86,20.99,PG
2,Ace Goldfinger,2006,1,3,4.99,48,12.99,G
3,Adaptation Holes,2006,1,7,2.99,50,18.99,NC-17
4,Affair Prejudice,2006,1,5,2.99,117,26.99,G
5,African Egg,2006,1,6,2.99,130,22.99,G
6,Agent Truman,2006,1,3,2.99,169,17.99,PG
7,Airplane Sierra,2006,1,6,4.99,62,28.99,PG-13
9,Alabama Devil,2006,1,3,2.99,114,21.99,PG-13
10,Aladdin Calendar,2006,1,6,4.99,63,24.99,NC-17
11,Alamo Videotape,2006,1,6,0.99,126,16.99,G
12,Alaska Phantom,2006,1,6,0.99,136,22.99,PG
213,Date Speed,2006,1,4,0.99,104,19.99,R
13,Ali Forever,2006,1,4,4.99,150,21.99,PG
14,Alice Fantasia,2006,1,6,0.99,94,23.99,NC-17
15,Alien Center,2006,1,5,2.99,46,10.99,NC-17
16,Alley Evolution,2006,1,6,2.99,180,23.99,NC-17
17,Alone Trip,2006,1,3,0.99,82,14.99,R
18,Alter Victory,2006,1,6,0.99,57,27.99,PG-13
19,Amadeus Holy,2006,1,6,0.99,113,20.99,PG
20,Amelie Hellfighters,2006,1,4,4.99,79,23.99,R
21,American Circus,2006,1,3,4.99,129,17.99,R
22,Amistad Midsummer,2006,1,6,2.99,85,10.99,G
23,Anaconda Confessions,2006,1,3,0.99,92,9.99,R
24,Analyze Hoosiers,2006,1,6,2.99,181,19.99,R
25,Angels Life,2006,1,3,2.99,74,15.99,G
26,Annie Identity,2006,1,3,0.99,86,15.99,G
27,Anonymous Human,2006,1,7,0.99,179,12.99,NC-17
28,Anthem Luke,2006,1,5,4.99,91,16.99,PG-13
29,Antitrust Tomatoes,2006,1,5,2.99,168,11.99,NC-17
30,Anything Savannah,2006,1,4,2.99,82,27.99,R
31,Apache Divine,2006,1,5,4.99,92,16.99,NC-17
32,Apocalypse Flamingos,2006,1,6,4.99,119,11.99,R
33,Apollo Teen,2006,1,5,2.99,153,15.99,PG-13
34,Arabia Dogma,2006,1,6,0.99,62,29.99,NC-17
35,Arachnophobia Rollercoaster,2006,1,4,2.99,147,24.99,PG-13
36,Argonauts Town,2006,1,7,0.99,127,12.99,PG-13
37,Arizona Bang,2006,1,3,2.99,121,28.99,PG
38,Ark Ridgemont,2006,1,6,0.99,68,25.99,NC-17
39,Armageddon Lost,2006,1,5,0.99,99,10.99,G
40,Army Flintstones,2006,1,4,0.99,148,22.99,R
41,Arsenic Independence,2006,1,4,0.99,137,17.99,PG
42,Artist Coldblooded,2006,1,5,2.99,170,10.99,NC-17
265,Dying Maker,2006,1,5,4.99,168,28.99,PG
43,Atlantis Cause,2006,1,6,2.99,170,15.99,G
44,Attacks Hate,2006,1,5,4.99,113,21.99,PG-13
45,Attraction Newton,2006,1,5,4.99,83,14.99,PG-13
46,Autumn Crow,2006,1,3,4.99,108,13.99,G
47,Baby Hall,2006,1,5,4.99,153,23.99,NC-17
48,Backlash Undefeated,2006,1,3,4.99,118,24.99,PG-13
49,Badman Dawn,2006,1,6,2.99,162,22.99,R
50,Baked Cleopatra,2006,1,3,2.99,182,20.99,G
126,Casualties Encino,2006,1,3,4.99,179,16.99,G
51,Balloon Homeward,2006,1,5,2.99,75,10.99,NC-17
52,Ballroom Mockingbird,2006,1,6,0.99,173,29.99,G
53,Bang Kwai,2006,1,5,2.99,87,25.99,NC-17
54,Banger Pinocchio,2006,1,5,0.99,113,15.99,R
55,Barbarella Streetcar,2006,1,6,2.99,65,27.99,G
56,Barefoot Manchurian,2006,1,6,2.99,129,15.99,G
57,Basic Easy,2006,1,4,2.99,90,18.99,PG-13
58,Beach Heartbreakers,2006,1,6,2.99,122,16.99,G
59,Bear Graceland,2006,1,4,2.99,160,20.99,R
60,Beast Hunchback,2006,1,3,4.99,89,22.99,R
61,Beauty Grease,2006,1,5,4.99,175,28.99,G
62,Bed Highball,2006,1,5,2.99,106,23.99,NC-17
63,Bedazzled Married,2006,1,6,0.99,73,21.99,PG
64,Beethoven Exorcist,2006,1,6,0.99,151,26.99,PG-13
