actor_first_name,frequency
Kenneth,4
Penelope,4
Julia,4
Gene,3
Cuba,3
Ed,3
Fay,3
Jayne,3
Cameron,3
Morgan,3
Groucho,3
Christian,3
Dan,3
Burt,3
Nick,3
Matthew,3
Russell,3
Ben,2
Scarlett,2
Cate,2
Frances,2
Minnie,2
Chris,2
Rip,2
Vivien,2
Angela,2
Daryl,2
Meryl,2
Renee,2
Susan,2
Mena,2
Warren,2
Lucille,2
Michael,2
Reese,2
Woody,2
Sean,2
Adam,2
Kirsten,2
Albert,2
Johnny,2
Mary,2
Spencer,2
Sandra,2
Kevin,2
Gary,2
Humphrey,2
Tom,2
Milla,2
Audrey,2
Christopher,2
Greta,2
John,1
Alan,1
Will,1
Parker,1
Debbie,1
James,1
Elvis,1
Whoopi,1
Jodie,1
River,1
Sissy,1
Julianne,1
Oprah,1
Kirk,1
Judy,1
Ralph,1
Al,1
Emily,1
Greg,1
Goldie,1
Charlize,1
Angelina,1
Richard,1
Bela,1
Ewan,1
Ray,1
Dustin,1
Olympia,1
Tim,1
Karl,1
Uma,1
Grace,1
Sylvester,1
Jane,1
Lisa,1
Anne,1
Thora,1
Jada,1
Zero,1
Rita,1
William,1
Alec,1
Meg,1
Henry,1
Natalie,1
Jim,1
Michelle,1
Liza,1
Gregory,1
Mae,1
Helen,1
Sidney,1
Jeff,1
Ellen,1
Ian,1
Kim,1
Salma,1
Joe,1
Fred,1
Jennifer,1
Carmen,1
Harrison,1
Cary,1
Bette,1
Rock,1
Laurence,1
Bob,1
Laura,1
Jon,1
Geoffrey,1
Jessica,1
Jude,1
Val,1
Harvey,1
Walter,1
Gina,1
