country_country,frequency
Thailand,1
"Virgin Islands, U.S.",1
Indonesia,1
Faroe Islands,1
Bangladesh,1
Italy,1
Venezuela,1
Oman,1
Cameroon,1
Czech Republic,1
Sweden,1
"Congo, The Democratic Republic of the",1
United Kingdom,1
Dominican Republic,1
Germany,1
Cambodia,1
Sri Lanka,1
Canada,1
American Samoa,1
Brunei,1
South Korea,1
Finland,1
Anguilla,1
Colombia,1
Saint Vincent and the Grenadines,1
Ukraine,1
Saudi Arabia,1
Runion,1
Argentina,1
Liechtenstein,1
Latvia,1
North Korea,1
Holy See (Vatican City State),1
Azerbaijan,1
Greece,1
Egypt,1
Afghanistan,1
Puerto Rico,1
India,1
Chad,1
Iran,1
French Polynesia,1
Chile,1
Algeria,1
Gambia,1
France,1
Estonia,1
Vietnam,1
Slovakia,1
Israel,1
South Africa,1
Peru,1
Nauru,1
Senegal,1
Malaysia,1
Kenya,1
Zambia,1
Kazakstan,1
Yugoslavia,1
Madagascar,1
Kuwait,1
Hong Kong,1
Japan,1
Philippines,1
Tuvalu,1
United States,1
Iraq,1
Turkey,1
Nigeria,1
Mozambique,1
Switzerland,1
New Zealand,1
Ecuador,1
Hungary,1
China,1
Belarus,1
Armenia,1
Russian Federation,1
Pakistan,1
Netherlands,1
Romania,1
Paraguay,1
Brazil,1
Austria,1
Australia,1
Bolivia,1
Ethiopia,1
Angola,1
Bahrain,1
Yemen,1
Lithuania,1
Spain,1
Bulgaria,1
Turkmenistan,1
Tunisia,1
Sudan,1
United Arab Emirates,1
Morocco,1
Malawi,1
Moldova,1
Myanmar,1
Mexico,1
Tonga,1
Nepal,1
Tanzania,1
Taiwan,1
Poland,1
Greenland,1
French Guiana,1
