rental_id,rental_date,inventory_id,customer_id,return_date,staff_id,last_update
11496,2006-02-14 15:16:03,2047,155,,1,2006-02-16 02:30:53
11541,2006-02-14 15:16:03,2026,335,,1,2006-02-16 02:30:53
12101,2006-02-14 15:16:03,1556,479,,1,2006-02-16 02:30:53
11563,2006-02-14 15:16:03,1545,83,,1,2006-02-16 02:30:53
11577,2006-02-14 15:16:03,4106,219,,2,2006-02-16 02:30:53
11593,2006-02-14 15:16:03,817,99,,1,2006-02-16 02:30:53
11611,2006-02-14 15:16:03,1857,192,,2,2006-02-16 02:30:53
11646,2006-02-14 15:16:03,478,11,,2,2006-02-16 02:30:53
11652,2006-02-14 15:16:03,1622,597,,2,2006-02-16 02:30:53
11657,2006-02-14 15:16:03,3043,53,,2,2006-02-16 02:30:53
13719,2006-02-14 15:16:03,3547,208,,1,2006-02-16 02:30:53
11672,2006-02-14 15:16:03,3947,521,,2,2006-02-16 02:30:53
11676,2006-02-14 15:16:03,4496,216,,2,2006-02-16 02:30:53
11709,2006-02-14 15:16:03,1720,330,,1,2006-02-16 02:30:53
11739,2006-02-14 15:16:03,4568,373,,2,2006-02-16 02:30:53
11754,2006-02-14 15:16:03,3747,163,,2,2006-02-16 02:30:53
11757,2006-02-14 15:16:03,1295,550,,2,2006-02-16 02:30:53
11782,2006-02-14 15:16:03,4098,354,,1,2006-02-16 02:30:53
11847,2006-02-14 15:16:03,1784,337,,1,2006-02-16 02:30:53
11848,2006-02-14 15:16:03,3680,152,,1,2006-02-16 02:30:53
11866,2006-02-14 15:16:03,2758,200,,2,2006-02-16 02:30:53
11909,2006-02-14 15:16:03,871,474,,1,2006-02-16 02:30:53
11942,2006-02-14 15:16:03,4094,576,,2,2006-02-16 02:30:53
11995,2006-02-14 15:16:03,3953,69,,1,2006-02-16 02:30:53
12001,2006-02-14 15:16:03,4158,52,,2,2006-02-16 02:30:53
12009,2006-02-14 15:16:03,2134,296,,2,2006-02-16 02:30:53
12064,2006-02-14 15:16:03,298,284,,1,2006-02-16 02:30:53
12066,2006-02-14 15:16:03,2474,267,,2,2006-02-16 02:30:53
12116,2006-02-14 15:16:03,3082,560,,2,2006-02-16 02:30:53
12127,2006-02-14 15:16:03,4218,582,,2,2006-02-16 02:30:53
12130,2006-02-14 15:16:03,1358,516,,2,2006-02-16 02:30:53
12141,2006-02-14 15:16:03,731,101,,1,2006-02-16 02:30:53
12144,2006-02-14 15:16:03,512,587,,1,2006-02-16 02:30:53
12222,2006-02-14 15:16:03,3949,22,,1,2006-02-16 02:30:53
12277,2006-02-14 15:16:03,407,33,,2,2006-02-16 02:30:53
12352,2006-02-14 15:16:03,643,155,,1,2006-02-16 02:30:53
12457,2006-02-14 15:16:03,2145,80,,2,2006-02-16 02:30:53
12489,2006-02-14 15:16:03,387,60,,2,2006-02-16 02:30:53
12506,2006-02-14 15:16:03,1132,114,,2,2006-02-16 02:30:53
12524,2006-02-14 15:16:03,857,438,,1,2006-02-16 02:30:53
12574,2006-02-14 15:16:03,177,317,,2,2006-02-16 02:30:53
12610,2006-02-14 15:16:03,3181,269,,1,2006-02-16 02:30:53
12645,2006-02-14 15:16:03,1658,457,,1,2006-02-16 02:30:53
12665,2006-02-14 15:16:03,1701,410,,2,2006-02-16 02:30:53
12672,2006-02-14 15:16:03,1722,228,,1,2006-02-16 02:30:53
12682,2006-02-14 15:16:03,1148,245,,2,2006-02-16 02:30:53
12698,2006-02-14 15:16:03,3657,497,,1,2006-02-16 02:30:53
12716,2006-02-14 15:16:03,858,570,,2,2006-02-16 02:30:53
12719,2006-02-14 15:16:03,1094,87,,2,2006-02-16 02:30:53
12736,2006-02-14 15:16:03,3591,244,,2,2006-02-16 02:30:53
12746,2006-02-14 15:16:03,1012,211,,1,2006-02-16 02:30:53
12759,2006-02-14 15:16:03,4193,354,,2,2006-02-16 02:30:53
12786,2006-02-14 15:16:03,97,512,,1,2006-02-16 02:30:53
12792,2006-02-14 15:16:03,1435,405,,2,2006-02-16 02:30:53
12891,2006-02-14 15:16:03,2764,388,,2,2006-02-16 02:30:53
12897,2006-02-14 15:16:03,1512,178,,2,2006-02-16 02:30:53
12901,2006-02-14 15:16:03,2799,180,,2,2006-02-16 02:30:53
12902,2006-02-14 15:16:03,464,91,,2,2006-02-16 02:30:53
12915,2006-02-14 15:16:03,2651,516,,1,2006-02-16 02:30:53
12938,2006-02-14 15:16:03,3987,28,,1,2006-02-16 02:30:53
12959,2006-02-14 15:16:03,1540,284,,2,2006-02-16 02:30:53
12970,2006-02-14 15:16:03,3999,216,,1,2006-02-16 02:30:53
12988,2006-02-14 15:16:03,81,236,,2,2006-02-16 02:30:53
13008,2006-02-14 15:16:03,1838,181,,1,2006-02-16 02:30:53
13022,2006-02-14 15:16:03,2266,336,,2,2006-02-16 02:30:53
13025,2006-02-14 15:16:03,4066,269,,1,2006-02-16 02:30:53
13056,2006-02-14 15:16:03,3751,115,,2,2006-02-16 02:30:53
13079,2006-02-14 15:16:03,733,107,,1,2006-02-16 02:30:53
13106,2006-02-14 15:16:03,3212,440,,1,2006-02-16 02:30:53
13108,2006-02-14 15:16:03,3630,73,,1,2006-02-16 02:30:53
13161,2006-02-14 15:16:03,986,175,,1,2006-02-16 02:30:53
13178,2006-02-14 15:16:03,693,394,,1,2006-02-16 02:30:53
13182,2006-02-14 15:16:03,364,496,,2,2006-02-16 02:30:53
13209,2006-02-14 15:16:03,1574,5,,2,2006-02-16 02:30:53
13246,2006-02-14 15:16:03,1849,411,,2,2006-02-16 02:30:53
13261,2006-02-14 15:16:03,3538,417,,1,2006-02-16 02:30:53
13295,2006-02-14 15:16:03,2408,229,,1,2006-02-16 02:30:53
