film_id,title,count,total_revenue
879,Telegraph Voyage,27,231.73
973,Wife Turn,31,223.69
1000,Zorro Ark,31,214.69
369,Goodfellas Salute,31,209.69
764,Saturday Lambs,28,204.72
893,Titans Jerk,28,196.72
897,Torque Bound,26,192.74
460,Innocent Usual,26,191.74
444,Hustler Party,22,190.78
403,Harry Idaho,29,190.71
670,Pelican Comforts,26,188.74
284,Enemy Odds,29,180.71
103,Bucket Brotherhood,34,180.66
715,Range Moonwalker,27,179.73
563,Massacre Usual,30,179.70
941,Videotape Arsenic,29,178.71
239,Dogma Family,30,178.70
31,Apache Divine,31,178.69
938,Velvet Terminator,26,177.74
244,Dorado Notting,27,176.73
127,Cat Coneheads,29,176.71
327,Fool Mockingbird,23,175.77
979,Witches Panic,30,173.70
159,Closer Bang,28,172.72
767,Scalawag Duck,32,172.68
745,Roses Treasure,28,171.72
865,Sunrise League,24,170.76
791,Show Lord,25,170.75
624,Nightmare Chill,25,169.75
771,Scorpion Apollo,23,168.77
174,Confidential Interview,29,164.71
551,Maiden Home,24,163.76
989,Working Microcosmos,25,163.75
21,American Circus,21,162.79
846,Sting Personal,21,159.79
527,Lola Agent,24,159.76
48,Backlash Undefeated,19,158.81
775,Seattle Expecations,23,157.77
575,Midsummer Groundhog,22,156.78
838,Stagecoach Armageddon,26,154.74
580,Mine Titans,19,153.81
683,Pity Bound,26,153.74
86,Boogie Amelie,28,153.72
778,Secrets Paradise,20,152.80
408,Head Stranger,22,152.78
972,Whisperer Giant,22,151.78
271,Easy Gladiator,23,150.77
579,Minds Truman,20,149.80
307,Fellowship Autumn,26,149.74
892,Titanic Boondock,21,148.79
985,Wonderland Christmas,22,148.78
856,Streetcar Intentions,25,148.75
501,Kissing Dolls,20,147.80
267,Eagles Panky,21,147.79
521,Lies Treatment,27,147.73
45,Attraction Newton,24,146.76
603,Movie Shakespeare,26,145.74
911,Trip Newton,28,145.72
350,Garden Island,20,144.80
263,Durham Panky,26,144.74
902,Trading Pinocchio,24,142.76
698,Princess Giant,26,142.74
112,Calendar Gunfight,21,141.79
596,Moonshine Cabin,21,141.79
898,Tourist Pelican,22,141.78
843,Steel Santa,23,141.77
330,Forrester Comancheros,26,141.74
135,Chance Resurrection,27,141.73
320,Flamingos Connecticut,23,139.77
313,Fidelity Devil,21,138.79
861,Suit Walls,19,137.81
167,Coma Head,26,137.74
253,Drifter Commandments,23,136.77
172,Coneheads Smoochy,25,136.75
995,Yentl Idaho,23,135.77
324,Flintstones Happiness,17,134.83
971,Whale Bikini,18,134.82
680,Pinocchio Simon,20,133.80
702,Pulp Beverly,29,133.71
621,Network Peak,31,133.69
409,Heartbreakers Bright,20,132.80
500,Kiss Glory,22,132.78
61,Beauty Grease,22,132.78
131,Center Dinosaur,23,132.77
361,Gleaming Jawbreaker,28,132.72
706,Queen Luke,21,131.79
614,Name Detective,22,131.78
518,Liaisons Sweet,22,131.78
10,Aladdin Calendar,23,131.77
572,Metropolis Coma,26,131.74
73,Bingo Talented,29,131.71
734,Road Roxanne,19,130.81
578,Million Ace,20,130.80
869,Suspects Quills,29,130.71
763,Satisfaction Confidential,17,129.83
439,Hunchback Impossible,19,129.81
412,Heavyweights Beast,23,129.77
730,Ridgemont Submarine,31,129.69
215,Dawn Pond,18,128.82
227,Details Packer,18,128.82
465,Interview Liaisons,20,128.80
129,Cause Date,21,128.79
117,Candles Grapes,23,128.77
331,Forward Temple,32,128.68
878,Teen Apollo,17,127.83
818,Something Duck,19,127.81
814,Snatch Slipper,22,127.78
908,Trap Guys,16,126.84
583,Mission Zoolander,18,126.82
755,Sabrina Midnight,21,126.79
6,Agent Truman,21,126.79
334,Freddy Storm,23,126.77
804,Sleeping Suspects,23,126.77
854,Strangers Graffiti,17,123.83
556,Maltese Hope,22,123.78
109,Butterfly Chocolat,30,123.70
891,Timberland Sky,31,123.69
964,Waterfront Deliverance,17,121.83
300,Falcon Volume,21,121.79
915,Truman Crazy,23,121.77
415,High Encino,22,120.78
710,Rage Games,19,119.81
25,Angels Life,22,119.78
961,Wash Heavenly,23,119.77
222,Desert Poseidon,19,118.81
676,Philadelphia Wife,22,118.78
946,Virtual Spoilers,14,117.86
887,Thief Pelican,19,117.81
805,Sleepless Monsoon,19,116.81
100,Brooklyn Desert,21,116.79
776,Secret Groundhog,21,116.79
502,Knock Warlock,24,116.76
397,Hanky October,26,116.74
738,Rocketeer Mother,33,116.67
768,Scarface Bang,17,115.83
346,Galaxy Sweethearts,18,115.82
827,Spice Sorority,20,115.80
694,Prejudice Oleander,20,115.80
255,Driving Polish,21,115.79
69,Beverly Outlaw,21,115.79
354,Ghost Groundhog,20,114.80
922,Undefeated Dalmations,21,114.79
35,Arachnophobia Rollercoaster,24,114.76
450,Idols Snatchers,30,114.70
506,Lady Stage,16,113.84
243,Doors President,17,113.83
396,Hanging Deep,19,113.81
720,Redemption Comforts,20,113.80
637,Open African,21,113.79
857,Strictly Scarface,23,113.77
777,Secretary Rouge,18,112.82
433,Horn Working,24,112.76
162,Clueless Bucket,25,112.75
349,Gangs Pride,27,112.73
77,Birds Perdition,18,111.82
590,Money Harold,20,111.80
304,Fargo Gandhi,24,111.76
654,Panky Submarine,15,110.85
260,Dude Blindness,16,110.84
294,Expecations Natural,18,110.82
725,Requiem Tycoon,19,110.81
139,Chasing Fight,19,110.81
723,Reign Gentlemen,20,110.80
895,Tomorrow Hustler,25,110.75
382,Grit Clockwork,32,110.68
183,Conversation Downhill,16,109.84
95,Breakfast Goldfinger,17,109.83
486,Jet Neighbors,20,109.80
378,Greatest North,29,109.71
319,Fish Opus,25,108.75
760,Samurai Lion,25,108.75
170,Command Darling,16,107.84
739,Rocky War,16,107.84
484,Jerk Paycheck,20,107.80
59,Bear Graceland,22,107.78
305,Fatal Haunted,28,107.72
759,Salute Apollo,23,106.77
199,Cupboard Sinners,23,106.77
356,Giant Troopers,28,106.72
512,League Hellfighters,17,105.83
871,Sweden Shining,17,105.83
859,Sugar Wonka,17,105.83
668,Peak Forever,20,105.80
274,Egg Igby,21,105.79
735,Robbers Joon,31,105.69
216,Day Unfaithful,13,104.87
969,West Lion,16,104.84
785,Shawshank Bubble,18,104.82
845,Stepmom Dream,20,104.80
823,South Wait,21,104.79
37,Arizona Bang,21,104.79
919,Tycoon Gathering,12,103.88
184,Core Suit,18,103.82
571,Metal Armageddon,25,103.75
468,Invasion Cyclone,27,103.73
285,English Bulworth,30,103.70
71,Bilko Anonymous,13,102.87
175,Confused Candles,17,102.83
336,French Holiday,17,102.83
370,Gorgeous Bingo,18,102.82
8,Airport Pollock,18,102.82
665,Patton Interview,23,102.77
749,Rules Human,16,101.84
44,Attacks Hate,16,101.84
666,Paycheck Wait,16,101.84
101,Brotherhood Blanket,26,101.74
65,Behavior Runaway,13,100.87
708,Quills Bull,16,100.84
691,Poseidon Forever,17,100.83
447,Ice Crossing,24,100.76
114,Camelot Vacation,26,100.74
179,Conquerer Nuts,16,99.84
570,Mermaid Insects,16,99.84
