country,customer_count,total_revenue
India,60,6561.52
China,53,5757.87
United States,36,4081.43
Japan,31,3447.84
Mexico,30,3293.10
Brazil,28,3177.59
Russian Federation,28,3037.91
Philippines,20,2355.42
Turkey,15,1651.15
Indonesia,14,1504.35
Argentina,13,1407.57
Nigeria,13,1502.51
South Africa,11,1199.16
Taiwan,10,1191.02
United Kingdom,9,910.85
Poland,8,877.97
Iran,8,945.76
Germany,7,816.09
Venezuela,7,677.32
Italy,7,827.13
Egypt,6,694.39
Colombia,6,694.44
Ukraine,6,730.42
Vietnam,6,737.31
Saudi Arabia,5,519.81
Netherlands,5,585.67
Spain,5,596.60
South Korea,5,570.67
Canada,5,589.65
Pakistan,5,525.72
Peru,4,463.89
Israel,4,419.02
Yemen,4,507.84
France,4,373.05
Malaysia,3,368.16
Dominican Republic,3,318.23
Algeria,3,377.12
Bangladesh,3,399.06
Paraguay,3,275.38
United Arab Emirates,3,328.17
Thailand,3,413.06
Chile,3,328.29
Mozambique,3,344.20
Switzerland,3,244.41
Ecuador,3,390.13
Austria,3,307.22
Morocco,3,302.30
Tanzania,3,336.18
Bolivia,2,180.54
Greece,2,231.47
French Polynesia,2,226.49
Kenya,2,250.47
Bulgaria,2,203.51
Oman,2,182.51
Puerto Rico,2,253.40
Sudan,2,227.46
Cameroon,2,193.49
Belarus,2,274.35
"Congo, The Democratic Republic of the",2,212.50
Latvia,2,259.41
Serbia,2,259.43
Angola,2,215.48
Azerbaijan,2,244.44
Romania,2,235.38
Myanmar,2,194.48
Cambodia,2,181.51
Kazakhstan,2,198.48
Finland,1,101.74
Brunei,1,108.66
Iraq,1,110.74
Nepal,1,116.78
"Virgin Islands, U.S.",1,122.68
New Zealand,1,92.76
Hungary,1,110.72
Sri Lanka,1,116.70
American Samoa,1,71.80
French Guiana,1,103.78
Ethiopia,1,91.77
Sweden,1,144.66
Lithuania,1,68.77
Turkmenistan,1,133.74
Tunisia,1,77.78
Greenland,1,137.66
Armenia,1,115.76
Moldova,1,127.66
Bahrain,1,109.76
Tuvalu,1,120.74
Malawi,1,123.72
Czech Republic,1,133.71
Hong Kong,1,142.70
Faroe Islands,1,113.73
Madagascar,1,93.78
Kuwait,1,110.75
Zambia,1,133.68
Anguilla,1,106.65
Senegal,1,100.75
Saint Vincent and the Grenadines,1,96.75
Nauru,1,148.69
Liechtenstein,1,114.72
Slovakia,1,89.74
Afghanistan,1,67.82
Chad,1,135.68
Réunion,1,216.54
Holy See (Vatican City State),1,152.66
Tonga,1,73.82
Gambia,1,129.70
Estonia,1,115.70
North Korea,1,113.69
